Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",48.437800,-66.522600,180.000000,top
"C2","18p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",45.847000,-61.214000,180.000000,top
"C3","10u","CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder",42.900600,-27.965400,180.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.718400,-45.339000,0.000000,top
"C5","18p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",45.847000,-54.940200,180.000000,top
"C6","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.003200,-58.953400,0.000000,top
"C7","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",56.515000,-47.371000,-90.000000,top
"C8","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",43.992800,-66.522600,0.000000,top
"C9","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",70.891400,-55.219600,-90.000000,top
"C10","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",45.770800,-96.012000,-90.000000,top
"C11","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",70.942200,-50.215800,0.000000,top
"C12","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",66.548000,-52.298600,0.000000,top
"C13","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",51.485800,-56.261000,180.000000,top
"C14","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",67.970400,-57.607200,0.000000,top
"C15","100u","CP_Radial_D5.0mm_P2.50mm",105.395913,-47.599600,180.000000,top
"C16","22u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",153.365200,-93.218000,90.000000,top
"C17","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",41.859200,-36.880800,0.000000,top
"C18","22u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",162.229800,-97.028000,0.000000,top
"C19","100u","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",162.306000,-94.259400,0.000000,top
"C20","22u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",156.972000,-97.002600,0.000000,top
"C21","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",150.977600,-94.894400,90.000000,top
"C22","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",162.814000,-106.095800,180.000000,top
"C23","22u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",146.735800,-100.634800,-90.000000,top
"C24","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",156.362400,-89.636600,0.000000,top
"C25","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.841500,-84.728322,0.000000,top
"C26","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",69.795300,-86.125322,180.000000,top
"C27","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",126.949200,-52.451000,0.000000,top
"C28","3u3","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",91.969500,-71.342522,0.000000,top
"C29","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",163.245800,-89.687400,0.000000,top
"C30","18p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",92.934700,-80.232522,0.000000,top
"C31","18p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",92.909300,-78.022722,0.000000,top
"C32","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",159.715200,-89.636600,180.000000,top
"C33","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",163.195000,-91.287600,0.000000,top
"C34","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",89.073900,-73.374522,0.000000,top
"C35","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",88.083300,-71.342522,0.000000,top
"C36","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",100.101400,-75.565000,180.000000,top
"C37","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",114.757200,-43.942000,-90.000000,top
"C38","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",99.644200,-82.219800,0.000000,top
"C39","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",117.170200,-44.907200,-90.000000,top
"C40","470u","CP_Radial_D8.0mm_P3.50mm",122.707400,-46.128656,-90.000000,top
"C41","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",89.277100,-85.083922,90.000000,top
"C42","22u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",48.310800,-95.351600,-90.000000,top
"C43","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",130.886200,-52.476400,180.000000,top
"C45","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.096000,-59.486800,0.000000,top
"C46","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.592600,-64.033400,-90.000000,top
"C47","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",75.611900,-66.922922,0.000000,top
"C48","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",109.118400,-64.617600,-90.000000,top
"C49","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",100.457000,-62.230000,180.000000,top
"C50","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",125.603000,-64.871600,0.000000,top
"C51","18p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",128.879600,-56.464200,0.000000,top
"C52","18p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",128.905000,-58.496200,0.000000,top
"C53","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",79.040900,-85.312522,0.000000,top
"C54","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",125.196600,-62.661800,0.000000,top
"C55","22n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.121400,-57.531000,180.000000,top
"C56","10u","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",68.550700,-83.966322,180.000000,top
